what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86",1363285351729
ws,sysinfo,,,"win32",1363285351729
locale,sysinfo,,,"en_US",1363285351729
processors,sysinfo,,,"2",1363285351729
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1363285351729
java.runtime.version,sysinfo,,,"1.7.0_13-b20",1363285351729
java.specification.name,sysinfo,,,"Java Platform API Specification",1363285351729
java.specification.vendor,sysinfo,,,"Oracle Corporation",1363285351729
java.specification.version,sysinfo,,,"1.7",1363285351729
java.vendor,sysinfo,,,"Oracle Corporation",1363285351729
java.version,sysinfo,,,"1.7.0_13",1363285351729
java.vm.info,sysinfo,,,"mixed mode",1363285351729
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1363285351729
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1363285351729
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1363285351729
java.vm.specification.version,sysinfo,,,"1.7",1363285351729
java.vm.vendor,sysinfo,,,"Oracle Corporation",1363285351729
java.vm.version,sysinfo,,,"23.7-b01",1363285351729
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1363285351761
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1363285352978
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1363285353057
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1363285353228
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1363285355477
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1363285357132
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363285357725
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1363285366687
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1363285366749
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1363285372027
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1363285372214
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363285590459
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363285592974
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363285595801
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1363285595801
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363285597582
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363285637776
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1363285637776
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1363285639400
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1363285640697
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1363285640712
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1363285645258
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363285645352
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363285646430
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1363285646461
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1363285652975
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363285653303
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363285653662
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1363285657630
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363285662723
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363285662863
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1363285664316
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363285664582
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363285665753
