what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363287743427
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363287751927
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363287751927
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363287757833
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.showInformation",1363287765114
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363287773989
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363287783083
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363287788473
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363287788473
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363287788551
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363287804942
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363287806176
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363287806176
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363287806254
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363287812192
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363287817942
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363287818285
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363287852348
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363287871160
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1363287885941
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1363287886394
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1363287889925
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1363287890488
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1363287895269
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363287895487
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363287896691
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363287899097
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363287900284
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1363287915284
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363287922174
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1363287923893
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363287925018
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1363287927518
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363287936471
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363287936518
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363287936768
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363287940158
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1363287940174
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363287941096
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363287944674
